OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,CouponCode,TotalPrice,Has_Coupon,Order_Month,Avg_Item_Cart_Price,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,TRK37947903,7,SAVE10,2853.1,1,1,407.58513202124,False,True,False,False,False,False,False,True,False,False,True,False
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,TRK91186779,3,SAVE10,302.7,1,8,100.89966366778776,False,False,False,True,False,False,False,True,False,False,False,True
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,TRK42903982,8,FREESHIP,2753.4,1,2,344.1745697817878,True,False,False,False,False,False,False,False,False,False,False,False
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,TRK62788070,5,SAVE10,273.19,1,10,54.63789072421856,False,True,False,False,False,False,True,False,True,False,False,False
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,TRK29241424,8,SAVE10,2504.04,1,5,313.0046087442391,False,False,False,True,True,False,False,False,False,False,False,False
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,TRK72976927,4,SAVE10,491.72,1,10,122.92969267576832,True,False,False,False,False,False,False,True,False,False,True,False
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,TRK96417362,6,SAVE10,664.42,1,6,110.73648210586316,False,False,True,False,False,False,True,False,True,False,False,False
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,TRK78809193,9,FREESHIP,747.75,1,5,83.0832410186211,False,False,False,False,False,False,False,True,True,False,False,False
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,TRK61042692,2,,268.56,0,4,134.279328603357,False,False,True,False,False,False,False,False,False,False,False,False
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,TRK33478363,6,SAVE10,2037.52,1,11,339.5861006898322,True,False,False,False,False,False,False,True,False,True,False,False
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,TRK98859248,9,WINTER15,3129.85,1,12,347.7607247103059,True,False,False,False,False,False,True,False,False,False,True,False
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,TRK48234646,7,SAVE10,147.42,1,2,21.059969914328693,False,False,False,True,False,False,True,False,False,False,False,False
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179 Main St,TRK20419991,6,FREESHIP,361.0,1,10,60.16656638905602,False,True,False,False,False,True,False,False,False,False,False,True
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,TRK81913874,4,FREESHIP,604.47,1,8,151.1171222071945,True,False,False,False,False,False,True,False,True,False,False,False
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980 Main St,TRK79186539,3,SAVE10,786.66,1,3,262.2191259362469,False,True,False,False,False,True,False,False,False,False,True,False
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,TRK54930938,3,,473.96,0,7,157.98614004619984,False,False,False,False,True,False,False,False,False,True,False,False
ORD200016,2023-01-24,C28976,Printer,2,533.81,914 Main St,TRK13194259,3,FREESHIP,1067.62,1,1,355.87214709284297,True,False,False,False,False,True,False,False,False,False,False,False
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,TRK11972116,3,,423.4,0,3,141.13286289045703,False,True,False,False,False,False,False,True,False,False,False,True
ORD200018,2025-03-26,C84329,Desk,1,431.44,891 Main St,TRK65191045,3,SAVE10,431.44,1,3,143.81285395715346,False,False,True,False,False,True,False,False,True,False,False,False
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,TRK59101365,9,SAVE10,1120.0,1,1,124.44430617299315,False,False,False,False,False,False,True,False,False,True,False,False
ORD200020,2023-05-08,C54829,Chair,5,62.51,587 Main St,TRK16718651,9,WINTER15,312.55,1,5,34.7277391914009,False,False,False,False,False,True,False,False,False,False,True,False
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,TRK52646983,6,,1371.8,0,11,228.6329522784129,False,False,False,False,True,False,False,False,False,True,False,False
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633 Main St,TRK75937350,2,SAVE10,99.24,1,1,49.61975190124049,False,False,False,True,False,True,False,False,False,True,False,False
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,TRK36168083,5,FREESHIP,1093.0,1,4,218.59956280087442,False,True,False,False,False,False,False,False,False,False,False,True
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,TRK28775057,3,WINTER15,461.9,1,10,153.96615344615518,False,False,False,True,True,False,False,False,False,False,False,True
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,TRK69423327,3,WINTER15,399.98,1,7,133.32622224592586,False,True,False,False,True,False,False,False,False,False,False,False
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296 Main St,TRK80276812,6,,297.75,0,3,49.624917291804515,False,False,False,True,True,False,False,False,False,False,False,True
ORD200027,2024-02-22,C97593,Printer,1,472.74,881 Main St,TRK89117573,6,WINTER15,472.74,1,2,78.7898686835522,False,False,False,True,False,False,False,True,False,True,False,False
ORD200028,2023-11-21,C59823,Phone,4,160.07,568 Main St,TRK65895539,5,,640.28,0,11,128.05574388851224,False,False,False,True,False,True,False,False,False,False,False,False
ORD200029,2024-09-20,C33260,Desk,3,423.53,930 Main St,TRK59744090,6,SAVE10,1270.59,1,9,211.76464705892158,True,False,False,False,True,False,False,False,False,False,False,True
ORD200030,2025-03-22,C44267,Monitor,2,426.7,895 Main St,TRK54751444,5,SAVE10,853.4,1,3,170.67965864068273,False,False,False,True,False,True,False,False,False,False,False,True
ORD200031,2023-06-30,C26445,Chair,3,500.08,996 Main St,TRK31229981,6,,1500.24,0,6,250.03958326736125,False,True,False,False,False,False,True,False,True,False,False,False
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,TRK99261395,10,,2683.6,0,5,268.35973164026836,False,False,False,False,True,False,False,False,False,False,False,False
ORD200033,2023-06-05,C52184,Chair,1,162.77,912 Main St,TRK73312471,4,WINTER15,162.77,1,6,40.692398269004336,False,False,False,True,False,False,False,False,True,False,False,False
ORD200034,2023-01-07,C67195,Chair,4,576.52,926 Main St,TRK55467915,5,WINTER15,2306.08,1,1,461.2150775698449,True,False,False,False,False,True,False,False,True,False,False,False
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128 Main St,TRK46850888,2,SAVE10,930.3,1,12,465.14767426162865,False,False,False,True,False,False,False,True,True,False,False,False
ORD200036,2025-05-08,C59337,Laptop,2,534.43,465 Main St,TRK50961250,5,,1068.86,0,5,213.77157245685507,False,True,False,False,False,True,False,False,True,False,False,False
